编号,名字,分组ID,类型,出现物品,出现概率,绿色几率,蓝色几率,金色几率,暗金几率,天蓝几率,翡翠绿几率,白金几率
ID,Desc,GroupId,RewardType,Items,Rates,GreenRate,BlueRate,GoldenRate,GoldenPlusRate,BluePlusRate,GreenPlusRate,WhitePlusRate
1,国庆节日礼包,1,2,1000;3000;8000;10000;20000,60;20;15;3.5;1,,,,,,,
2,国庆节日礼包,1,1,1079,0.5,100,0,0,0,0,,
3,双黄莲蓉月饼,2,4,1000;2000;3000;4000;5000;10000,45;30;15;7;2.5;0.5,,,,,,,
4,冰皮双黄月饼,3,3,1000;2000;3000;4000;5000;10000,45;30;15;7;2.5;0.5,,,,,,,
5,金锭包,4,2,20000;50000;80000;120000;150000;200000,60;20;15;3.5;1;0.5,,,,,,,
6,圣诞小礼物(台湾),5,1,1079,10,,,,,,,
7,圣诞小礼物(台湾),5,2,10000;20000;50000,50;25;15,,,,,,,
8,圣诞礼物(大马),6,1,3743;531;533;1003,1;4.5;4.5;15,,,,,,,
9,圣诞礼物(大马),6,2,500000;200000,25;50,,,,,,,
10,祝福礼包(台湾),7,4,666;888;1888;2888;3888;6888,60;20;15;3.5;1;0.5,,,,,,,
11,圣诞小礼物(欧美),8,1,3756;3757;1047;3758;3759;3514,25;25;20;15;10;5,,,,,,,
12,神奇宝盒(欧美),9,1,1047;1007;1011;1135;531,20;15;15;5;5,,,,,,,
13,神奇宝盒(欧美),9,2,100000,20,,,,,,,
14,神奇宝盒(欧美),9,4,2000;5000,10;10,,,,,,,
15,祝福礼包(大马),10,4,666;888;1888;2888;3888;6888,5;15;30;35;10;5,,,,,,,
16,圣诞礼物(台湾),11,1,3767;531;533;1003,1;4.5;4.5;15,,,,,,,
17,圣诞礼物(台湾),11,2,500000;200000,25;50,,,,,,,
18,血神宝箱,12,2,5000,100,,,,,,,
19,血神宝箱,13,2,25000,100,,,,,,,
20,小红包,14,2,30000,100,,,,,,,
21,大红包,15,2,50000,100,,,,,,,
22,特大红包,16,2,100000,100,,,,,,,
23,春节小红包,17,1,3455,20,,,,,,,
24,春节小红包,17,1,3456,15,,,,,,,
25,春节小红包,17,1,3457,15,,,,,,,
26,春节小红包,17,1,3885,15,,,,,,,
27,春节小红包,17,1,3886,15,,,,,,,
28,春节小红包,17,1,3887,15,,,,,,,
29,春节小红包,17,1,3505,1,,,,,,,
30,春节小红包,17,1,3718,1,,,,,,,
31,春节小红包,17,1,3506,1,,,,,,,
32,春节小红包,17,1,1252,1,,,,,,,
33,春节小红包,17,1,1253,1,,,,,,,
34,春节大红包,18,2,300000,50,,,,,,,
35,春节大红包,18,2,500000,28,,,,,,,
36,春节大红包,18,1,3506,10,,,,,,,
37,春节大红包,18,1,3718,5,,,,,,,
38,春节大红包,18,1,3505,5,,,,,,,
39,春节大红包,18,1,3717,1,,,,,,,
40,春节大红包,18,1,3892,1,,,,,,,
41,天使宝盒,19,1,3939,1,,,,,,,
42,天使宝盒,19,1,3505,2,,,,,,,
43,天使宝盒,19,1,3718,2,,,,,,,
44,天使宝盒,19,1,3771,2,,,,,,,
45,天使宝盒,19,1,3942,42,,,,,,,
46,天使宝盒,19,2,200000,51,,,,,,,
47,天使呼唤,20,1,3717,50,,,,,,,
48,天使呼唤,20,1,3941,50,,,,,,,
49,复活节彩蛋,21,1,1079,60,,,,,,,
50,复活节彩蛋,21,1,3451,20,,,,,,,
51,复活节彩蛋,21,1,1003,20,,,,,,,
52,铁匠的中礼包,22,1,3970,33,,,,,,,
53,铁匠的中礼包,22,1,3971,33,,,,,,,
54,铁匠的中礼包,22,1,3971,33,,,,,,,
55,铁匠的中礼包,22,1,3971,1,,,,,,,
56,铁匠的大礼包,23,1,3971,33,,,,,,,
57,铁匠的大礼包,23,1,3972,33,,,,,,,
58,铁匠的大礼包,23,1,3972,33,,,,,,,
59,铁匠的大礼包,23,1,3972,1,,,,,,,
60,矿产箱(1级),24,1,4013,100,,,,,,,
61,矿产箱(1级),24,1,4023,0,,,,,,,
62,矿产箱(2级),25,1,4014,100,,,,,,,
63,矿产箱(2级),25,1,4024,0,,,,,,,
64,矿产箱(3级),26,1,4015,100,,,,,,,
65,矿产箱(3级),26,1,4025,0,,,,,,,
66,矿产箱(4级),27,1,4016,100,,,,,,,
67,矿产箱(4级),27,1,4026,0,,,,,,,
68,矿产箱(5级),28,1,4017,100,,,,,,,
69,矿产箱(5级),28,1,4027,0,,,,,,,
70,矿产箱(6级),29,1,4018,100,,,,,,,
71,矿产箱(6级),29,1,4028,0,,,,,,,
72,矿产箱(7级),30,1,4019,100,,,,,,,
73,矿产箱(7级),30,1,4029,0,,,,,,,
74,矿产箱(8级),31,1,4020,100,,,,,,,
75,矿产箱(8级),31,1,4030,0,,,,,,,
76,矿产箱(9级),32,1,4021,100,,,,,,,
77,矿产箱(9级),32,1,4031,0,,,,,,,
78,矿产箱(10级),33,1,4022,100,,,,,,,
79,矿产箱(10级),33,1,4032,0,,,,,,,
80,半岛铁盒(普通),34,1,3942,40,,,,,,,
81,半岛铁盒(普通),34,1,1016,10,,,,,,,
82,半岛铁盒(普通),34,1,1158,10,,,,,,,
83,半岛铁盒(普通),34,1,1003,10,,,,,,,
84,半岛铁盒(普通),34,1,3954,10,,,,,,,
85,半岛铁盒(普通),34,1,902,8,,,,,,,
86,半岛铁盒(普通),34,1,3878,6,,,,,,,
87,半岛铁盒(普通),34,1,3717,4,,,,,,,
88,半岛铁盒(普通),34,1,1253,2,,,,,,,
89,半岛铁盒(珍贵),35,1,3941,40,,,,,,,
90,半岛铁盒(珍贵),35,1,4104,20,,,,,,,
91,半岛铁盒(珍贵),35,1,4103,10,,,,,,,
92,半岛铁盒(珍贵),35,1,3923,30,,,,,,,
93,铁匠的小礼包,36,1,3969,33,,,,,,,
94,铁匠的小礼包,36,1,3970,33,,,,,,,
95,铁匠的小礼包,36,1,3970,33,,,,,,,
96,铁匠的小礼包,36,1,3970,1,,,,,,,
97,和风宝箱（峨嵋）,37,1,813,25,,,,,,,
98,和风宝箱（峨嵋）,37,1,814,20,,,,,,,
99,和风宝箱（峨嵋）,37,1,815,20,,,,,,,
100,和风宝箱（峨嵋）,37,1,811,10,,,,,,,
101,和风宝箱（峨嵋）,37,1,812,10,,,,,,,
102,和风宝箱（峨嵋）,37,1,810,10,,,,,,,
103,和风宝箱（峨嵋）,37,1,1253,5,,,,,,,
104,和风宝箱（佛门）,38,1,819,25,,,,,,,
105,和风宝箱（佛门）,38,1,820,20,,,,,,,
106,和风宝箱（佛门）,38,1,821,20,,,,,,,
107,和风宝箱（佛门）,38,1,817,10,,,,,,,
108,和风宝箱（佛门）,38,1,818,10,,,,,,,
109,和风宝箱（佛门）,38,1,816,10,,,,,,,
110,和风宝箱（佛门）,38,1,1253,5,,,,,,,
111,和风宝箱（百花）,39,1,825,25,,,,,,,
112,和风宝箱（百花）,39,1,826,20,,,,,,,
113,和风宝箱（百花）,39,1,827,20,,,,,,,
114,和风宝箱（百花）,39,1,823,10,,,,,,,
115,和风宝箱（百花）,39,1,824,10,,,,,,,
116,和风宝箱（百花）,39,1,822,10,,,,,,,
117,和风宝箱（百花）,39,1,1253,5,,,,,,,
118,和风宝箱（青城）,40,1,831,25,,,,,,,
119,和风宝箱（青城）,40,1,832,20,,,,,,,
120,和风宝箱（青城）,40,1,833,20,,,,,,,
121,和风宝箱（青城）,40,1,829,10,,,,,,,
122,和风宝箱（青城）,40,1,830,10,,,,,,,
123,和风宝箱（青城）,40,1,828,10,,,,,,,
124,和风宝箱（青城）,40,1,1253,5,,,,,,,
125,和风宝箱（仙禽）,41,1,837,25,,,,,,,
126,和风宝箱（仙禽）,41,1,838,20,,,,,,,
127,和风宝箱（仙禽）,41,1,839,20,,,,,,,
128,和风宝箱（仙禽）,41,1,835,10,,,,,,,
129,和风宝箱（仙禽）,41,1,836,10,,,,,,,
130,和风宝箱（仙禽）,41,1,834,10,,,,,,,
131,和风宝箱（仙禽）,41,1,1253,5,,,,,,,
132,象魔弟子锦囊,42,1,4191,10,,,,,,,
133,象魔弟子锦囊,42,2,50000,70,,,,,,,
134,象魔弟子锦囊,42,1,4195,20,,,,,,,
135,湿婆的腰包,43,1,4193,10,,,,,,,
136,湿婆的腰包,43,1,4191,10,,,,,,,
137,湿婆的腰包,43,1,1079,20,,,,,,,
138,湿婆的腰包,43,2,50000,20,,,,,,,
139,湿婆的腰包,43,2,100000,20,,,,,,,
140,湿婆的腰包,43,2,200000,20,,,,,,,
141,暗黑号召令：魔人降世,44,1,4194,100,,,,,,,
142,暗黑紧急令：湿婆魔象,45,1,4190,100,,,,,,,
143,乾坤宝盒,46,1,382;401;402;404;405;1250;4216;4217;4213;1039,15;15;10;15;10;1;15;15;1;3,,,,,,,
144,限量乾坤宝盒,47,1,383;4052;1251;3771;4103;4104,20;15;30;15;10;10,,,,,,,
145,圣诞小宝箱,48,1,3856;4223;3848;4245;4242,16;16;16;50;2,,,,,,,
146,圣诞大宝箱,49,1,4224;4225;4226;4243;4248,30;30;18;20;2,,,,,,,
147,宠物宝箱,50,2,50000,39,,,,,,,
148,宠物宝箱,50,1,4228;4229;4230;4231;4232;4233,39;9;6;4;2;1,,,,,,,
149,圣诞礼物,51,2,500000,30,,,,,,,
150,圣诞礼物,51,1,4234;3878;3942;383;4235,35;20;13;1;1,,,,,,,
151,圣诞大宝箱,52,1,4224;4225;4226;4243,30;30;20;20,,,,,,,
152,圣诞礼物,53,2,250000,30,,,,,,,
153,圣诞礼物,53,1,4234;3711;3942;383;4235,35;20;13;1;1,,,,,,,
154,宠物宝箱,54,2,50000,39,,,,,,,
155,宠物宝箱,54,1,4228;4229;4230;382;902;533;531;3489;3487,39;9;6;2;1;1;1;1;1,,,,,,,
156,09春节大红包,55,1,1159;3462;3710;3506;3505;3717;3892,40;38;10;5;3;2;2,,,,,,,
157,新年礼盒,56,1,401;1018;3485;3483;3878;4157;4304;4106;3940,55;25;5;5;5;2;1;1;1,,,,,,,
158,09春节小红包(越南),57,1,3481;3918;3919;3920;3718;3506;1252;1253,36;20;20;20;1;1;1;1,,,,,,,
159,09春节大红包(越南),58,1,3718;3506;3892,5;10;1,,,,,,,
