typeid,posx,posy,dir
4374,142,515,12
4512,140,519,2
2016,300,589,8
2016,255,576,0
2016,238,611,8
2016,190,591,0
2017,129,571,8
2017,111,603,0
2017,167,601,8
2017,217,600,0
2017,292,600,8
2001,201,457,8
2001,171,483,0
2001,121,423,8
2002,134,463,8
2002,143,407,0
2002,214,422,8
2003,187,434,8
2003,191,489,0
2003,102,382,8
2016,223,435,8
2016,144,451,0
2016,140,483,8
2017,203,398,8
2017,184,465,0
2017,102,418,8
2002,122,302,8
2002,78,339,8
2003,75,293,8
2016,106,363,8
2017,126,329,8
2001,84,178,8
2001,127,100,0
2001,164,186,8
2002,96,151,8
2002,171,130,0
2002,126,211,8
2003,98,76,8
2003,127,171,0
2003,76,204,8
2016,157,163,8
2016,104,198,0
2016,108,124,8
2017,162,105,8
2017,153,205,0
2017,87,219,8
2016,190,121,8
2017,240,144,8
2001,226,107,8
2002,214,74,8
2003,241,82,8
2053,163,518,14
4695,178,539,8
