typeid,posx,posy,dir
2916,615,-1140,8
2923,667,-1230,14
2922,650,-1233,12
2922,660,-1214,12
2922,561,-1210,4
2922,577,-1225,12
2922,552,-1172,4
2922,557,-1138,12
2922,578,-1105,4
2922,605,-1075,12
2922,661,-1094,4
2922,667,-1136,12
2921,645,-1197,12
2921,639,-1212,12
2921,575,-1204,4
2921,561,-1155,12
2921,590,-1126,4
2921,615,-1106,12
2921,640,-1129,4
2921,682,-1158,12
2921,636,-1089,4
2921,624,-1163,12
2920,675,-1214,12
2920,662,-1243,14
2920,589,-1236,2
2920,595,-1203,4
2920,622,-1126,12
2920,668,-1115,12
2920,565,-1122,4
2920,615,-1206,4
2920,563,-1188,4
2920,593,-1146,4
