程序导标记，不用翻译,,
ID,Name,Desc
4482,[no_use],
4483,[no_use],
4484,[no_use],
4485,[no_use],
4486,[no_use],
4487,[no_use],
4488,[no_use],
4489,Small Blue Magic Bead,"20% chance to increase equipment quality from Green or White to Blue.  New one will keep the Energy, but will have random attributes and Plus Rank."
4490,[no_use],[no_use]
4491,[no_use],[no_use]
4492,[no_use],[no_use]
4493,Golden Cure Pill,"Eat the pill to recover 5000 HP instantly, can be used in battle."
4494,Wind Ring,
4495,Rain Amulet,
4496,Ring of Dragon and Tiger,
4497,Amulet of Dragon and Tiger,
4498,Red Precious Stone,Use it to get a BUFF of being 300% experience rate in one hour.  This BUFF can't coexist with other experience BUFF.
4499,Strange Chest,It will give you a surprise when you open it.
4500,Strange Chest,It will give you a surprise when you open it.
4501,Fighting Healing Potion (lvl 1),"Strong medicine, recover 150 HP in 15 seconds, can be used in battle."
4502,Fighting Healing Potion (lvl 2),"Strong medicine, recover 450 HP in 15 seconds, can be used in battle."
4503,Fighting Healing Potion (lvl 3),"Strong medicine, recover 1350 HP in 15 seconds, can be used in battle."
4504,Quest Key No.1,Quest Item.
4505,Adv. Healing Charm (lvl 2),Increase 380 HP in 10 seconds.
4506,Adv. Mana Charm (lvl 2),Increase 380 Mana in 10 seconds.
4507,Quest Key No.2,Quest Item.
4508,Adv. Healing Charm (lvl 4),Increase 1100 HP in 10 seconds.
4509,Adv. Mana Charm (lvl 4),Increase 1100 Mana in 10 seconds.
4510,Quest Key No.3,Quest Item.
4511,Adv. Healing Charm (lvl 6),Increase 2050 HP in 10 seconds.
4512,Adv. Mana Charm (lvl 6),Increase 2050 Mana in 10 seconds.
4513,Quest Key No.4,Quest Item.
4514,Fire Source Pearl,Quest Item.
4515,Lucky Card,
4516,Zun's Rice Dumpling,Delicious food.
4517,Yuan's Rice Dumpling,Delicious food.
4518,Word of 'Love',Collect four words to exchange for Dragon Boat Wine.
4519,Word of 'Deep',Collect four words to exchange for Dragon Boat Wine.
4520,Word of 'Feeling',Collect four words to exchange for Dragon Boat Wine.
4521,Word of 'Dumpling',Collect four words to exchange for Dragon Boat Wine.
4522,Feeling Ring,Award item for event.
4523,Adv. Numen Grass,"Double the little pet experience rate, lasting 12 hours."
4524,Dragon Boat Wine,Event item.
4525,[no_use],[no_use]
4526,Pet Food,Feed pet to increase 5 points of pet happy value. (happy value decreases 1 point in every 10 minutes)
4527,Numen Grass,"Double the little pet experience rate, lasting 1 hour."
4528,Titanium Stone,"Secret stone with golden silk inside, used to increase the success rate of combination for 5% each.  You can use max 4 pieces each time.  It will disappear once used. "
4529,Instant Full Healing Potion,Filled HP instantly.
4530,Phoenix Jackstraw,"Phoenix Jackstraw can be consumed to revive the owner without any experience and energy lost.  The owner will be revived exactly at the present place.  It's invalid to red/yellow named characters.  It's also invalid in PK.  If the owner has both Phoenix Jackstraw and normal Jackstraw at the same time, it takes priority of using the normal one."
4531,Pet Food,Feed pet to increase 5 points of pet happy value. (happy value decreases 1 point in every 10 minutes)
4532,Instant Full Healing Potion,Filled HP instantly.
4533,Adv. Numen Grass,"Double the little pet experience rate, lasting 12 hours."
4534,Cosmetic Drug,Use it to change your character's face and hair style.
4535,Bird Amulet,
4536,Token of Angel Mount,
4537,Fruit of Angel Sprite,
4538,Wolf Fur,
4539,Lost Book,
4540,Stolen Frock,
4541,Letter,
4542,Chain,"Choose the target first, then click to use this item."
4543,Kindling,
4544,Dragon Boat Sachet,Open it to get gift.
4545,Dragon Boat Bag,Open it to get gift.
4546,Dragon Boat Ring,
4547,Bamboo Leaf,
4548,Glutinous Rice,
4549,Pork,
4550,Cotton Thread,
4551,Meta Scroll of Rice Dumpling,
4552,Meta Scroll of Dragon Boat Panda,
4553,Meta Scroll of Snake Demon,
4554,Gem of Meta Scroll,
4555,Family Token,Special Token.
4556,[no_use],
4557,[no_use],
4558,[no_use],
4559,Master Pellet,Eat it to gain 10 Master Points.
4560,Shiny Blue Magic Bead,"80% chance to increase equipment quality from Green or White to Blue.  New one will keep the Energy, but will have random attributes and Plus Rank."
4561,Small Emerald,Use the gem to combine Weapon Talisman or Mount to Plus Rank +1 ~ +3.  Blacksmith can help you do the combination.
4562,Medium Emerald,Use the gem to combine Weapon Talisman or Mount to Plus Rank +4 ~ +6.  Blacksmith can help you do the combination.
4563,Large Emerald,Use the gem to combine Weapon Talisman or Mount to Plus Rank +7 and above.  Blacksmith can help you do the combination.
4564,Small Ruby,Use the gem to combine Defense Gear to Plus Rank +1 ~ +3.  Blacksmith can help you do the combination.
4565,Medium Ruby,Use the gem to combine Defense Gear to Plus Rank +4 ~ +6.  Blacksmith can help you do the combination.
4566,Large Ruby,Use the gem to combine Defense Gear to Plus Rank +7 and above.  Blacksmith can help you do the combination.
4567,Green Identify Gem,"Green Identify Gem, use it to identify green item, arouse the item's potential ability.  Blacksmith can help you do the identification."
4568,Blue Identify Gem,"Blue Identify Gem, use it to identify blue items, arouse the item's potential ability.  Blacksmith can help you do the identification."
4569,Golden Identify Gem,"Golden Identify Gem,  use it to identify golden items, arouse the item's potential ability.  Blacksmith can help you do the identification."
4570,Titanium Stone,"Secret stone with golden silk inside, used to increase the success rate of combination for 5% each.  You can use max 4 pieces each time.  It will disappear once used. "
4571,[no_use],[no_use]
4572,[no_use],[no_use]
4573,[no_use],[no_use]
4574,[no_use],[no_use]
4575,[no_use],[no_use]
4576,[no_use],[no_use]
4577,Return Charm,Use it to return to the closest village/city.
4578,Little Wild Mule (Pet),"Pet Little Wild Mule, increase master's Mana upper limit.  It will get attribution points for master and can learn extra skills from level 11."
6000,Golden Dazzling Stone,"Blacksmith's Favorites.  If use it as a fortune item in Talisman (below level 60) or Mount combination of Plus Rank +5~+7, it can increase 5% success rate and reduce half of the gold cost. You can only use one each time.  It will disappear once used. "
6001,Blue Dazzling Stone,"Blacksmith's Favorites.  If use it as a fortune item in Defense Gear (below level 60) combination of Plus Rank +5~+7, it can increase 5% success rate and reduce half of the gold cost. You can only use one each time.  It will disappear once used. "
1,Skyline Blade,Skyline Blade
2,Square Halberd,Square Halberd
3,Red Potion,Red Potion
4,Black Luster Sword,
5,Red Tassel Sword,
6,Blue Elf Sword,
7,Raging Fire Sword,
8,Purple Lightning Sword,
9,White Flow Sword,
10,Sun Spirit Sword,
11,Golden Lizard Sword,
12,Howling Wind Sword,
13,Wild Flame Sword,
14,Iron Water Blade,
15,Gallop Leap Blade,
16,Blue Spring Blade,
17,Cold Moon Blade,
18,Water Gear Blade,
19,Hidden Dragon Blade,
20,Steel Power Blade,
21,Dragon Spring Blade,
22,Sea Tide Blade,
23,Dragon Slaughter Blade,
24,Black Wood Shovel,
25,Hundreds Quench Shovel,
26,Mundane Time Shovel,
27,Steel Crescent Shovel,
28,Lion Roaring Shovel,
29,Tiger Roaring Shovel,
30,Cloud Rack Shovel,
31,Open Light Shovel,
32,Occult Power Shovel,
33,Giant Master Shovel,
34,Jade Smash Staff,
35,Sky Gap Staff,
36,Tame Dragon Staff,
37,Tame Tiger Staff,
38,Golden Buddha Staff,
39,Demon Killing Staff,
40,Brahma Staff,
41,Holy Judgement Staff,
42,Wonder Tree Staff,
43,Fatal Power Staff,
44,Golden Wish Wheel,
45,Nine Welkin Wheel,
46,Bright Sky Wheel,
47,Flee Air Wheel,
48,Golden Light Wheel,
49,Triple Silence Wheel,
50,Thunder Sound Wheel,
51,Splendid Buddha Wheel,
52,Naga Treasure Wheel,
53,Six Positiveness Wheel,
54,Buddha Smile Pearl,
55,Sky Centipede Pearl,
56,Buddha Green Pearl,
57,Myth Blue Pearl,
58,Myth Black Pearl,
59,Shade Thunder Pearl,
60,Snow Soul Pearl,
61,Nine Sky Pearl,
62,Sky Flame Pearl,
63,Decency Welkin Pearl,
64,Ice Shield,
65,Longbrow Needle,
66,Tao Symbol,
67,Warm Jade,
68,Treasure Loop,
69,Heart Lotus,
70,Buddha Bone,
71,Diamond Sutra,
72,Treasure Leaf,
73,Wonder Needle,
74,Purple Cloud,
75,Purple Cowry,
