程序导标记，不用翻译,,
STRID,LAN,Remark
msg_god20,"By doing the secret exercise this time, you consumed Soul Power %d points, gained Experience %d points and Energy %d points, and consumed %d pieces of Occult Berry and %d pieces of  Pith of Energy Stone.",
item_other_error4,"Sorry, all items with Soul Infusion cannot be destroyed or sold to NPC.",
item_other_error5,"To protect your account, you are not allowed to trade out, destroy or sold item now because you have been online only for %d minutes (safe time limit).",
msg_god22,Occult Berry is only available to player at level %d and above.,
msg_item1,"Because this item is Golden quality or with Plus Rank >= 5, you can only trade out or transfer it only once within %d hours.  Are you sure to transfer it now?",
msg_item2,"With Golden quality or with Plus Rank >= 5, this item has been traded once within %d hours.  So for your safety of property, please transfer it after %d hours. (Sorry for this inconvenience, but your property safety is more important)",
msg_item3,%d hour(s) left.,
msg_item4,%d minute(s) left.,
msg_item5,%d second(s) left.,
msg_item6,"Mount is valuable item, so it cannot be used as Fortune Item.",
msg_item7,This item is only available to equipments under level 60.,
msg_login24,"You have reached max login number, please apply login time again.",
msg_login25,"You must log in within the given time, please re-apply your login time.",
msg_login26,Wrong account or temporary password!,
msg_misc1,It's [%s]!  Are you sure to [%s] it?,
msg_pet_cannot_save,You must recall your pet first before taking another pet from Pet Corral.,
msg_role_active_op_active,Activate this character.,
msg_role_active_op_auto_delete_date,It will be deleted automatically on %d-%d-%d.,
msg_role_active_op_close,Close,
msg_role_active_op_delete,Delete this character.,
msg_role_active_op_error_1,Only 3 characters can be activated.,
msg_role_active_op_error_2,You can activate more character.,
msg_role_active_op_freeze,Block this character.,
msg_role_active_op_ok,Enter to select character.,
msg_role_active_op_return,Back,
msg_role_active_op_undelete,Cancel deleting this character.,
MSG_SMITHING_ERROR10,Only one Golden Dazzling Stone can be used at one time.,
MSG_SMITHING_ERROR11,Only one Blue Dazzling Stone can be used at one time.,
MSG_SMITHING_ERROR12,Golden Dazzling Stone can only be used in combination of +5 to +7.,
MSG_SMITHING_ERROR13,Blue Dazzling Stone can only be used in combination of +5 to +7.,
MSG_SMITHING_ERROR8,Golden Dazzling Stone can only be used to combine Weapon Talisman or Mount.,
MSG_SMITHING_ERROR9,Blue Dazzling Stone can only be used to combine Defense Gear.,
msg_stall32,You cannot set stall now.,
msg_task_used_item,Use: ,
pop_mute_30m,Ban speak for 30 minutes,
msg_god12,"Use Occult Berry.  Earn Exp. %d points, Energy %d points, and cost %d Berries every hour.",
msg_god13,"Use Pith of Energy Stone.  Earn Energy %d points, and cost %d pieces of Pith every hour.",
msg_god14,It costs Soul Power %d points every hour to earn Exp. %d points and Energy %d points.,
msg_god15,It will exceed the maximum of your current Energy.  You can't obtain.,
msg_god16,%d  /  %d,
msg_god17,%d  /  %d,
msg_god18,%d  /  Max: %d,
msg_god19,%d  /  Max: %d,
msg_god2,Sprout,
msg_god2_1,Sprout (early),
msg_god2_2,Sprout (medium),
msg_god2_3,Sprout (mature),
card_get_luck,%s got item %s.,
card_get_treasure,%s got item %s.,
card_mail_sender,Item post center.,
card_mail_title,Mail posted with item.,
cha_addoneself_shield_error,You can not block Your own words.,
cha_channel_shielded_error,This channel  has been blocked.,
cha_is_forbidded_error,You are forbidden to chat.,
cha_no_faction_error,Not belongs to any guild.,
cha_no_party_error,Not belongs to any guild.,
cha_no_spouse_error,Current no spouse.,
cha_no_team_error,Current no team.,
cha_notenough_energy_error,No stamina to shout.,
cha_p_add_blackuser_ok,Put %s into black list.,
cha_p_del_blackuser_ok,Delete %s from black list.,
cha_p_forbid_ok,"%s chatting forbidden success, lasting %d second. ",
cha_p_listen_ok,Monitoring [%s] ok.,
cha_p_offline_error,%s offline.,
cha_p_unforbid_ok,Cancel chatting forbidden %s success.,
cha_p_unlisten_ok,Stop monitoring [%s].,
cha_romor_failed_error,Failed to anonymous,
cha_userdata_error,user data error,
chat_world_with_item,#u#R World Charm #n,
company_name, ,
float_msg_dodge,Dodge,
float_msg_enter_battle,Enter Battle,
float_msg_full,Complete,
float_msg_hits,Hits,
float_msg_leave_battle,Leave Battle,
float_msg_min,Minimum,
float_msg_miss,Missed,
float_msg_parry,Block,
msg_god21,You need reach level 10 to use the Soul function.,
msg_god3,Inclusion,
msg_god3_1,Inclusion (early),
msg_god3_2,Inclusion (medium),
msg_god3_3,Inclusion (mature),
msg_god4,Princekin,
msg_god4_1,Princekin (early),
msg_god4_2,Princekin (medium),
msg_god4_3,Princekin (mature),
msg_god5,Vigor,
msg_god5_1,Vigor (early),
msg_god5_2,Vigor (medium),
msg_god5_3,Vigor (mature),
msg_god6,Wonder,
msg_god6_1,Wonder (early),
msg_god6_2,Wonder (medium),
msg_god6_3,Wonder (mature),
msg_god7,Genius,
msg_god7_1,Genius (early),
msg_god7_2,Genius (medium),
msg_god7_3,Genius (mature),
msg_god8,Fission,
msg_god8_1,Fission (early),
msg_god8_2,Fission (medium),
msg_god8_3,Fission (mature),
msg_god9,Zenith,
msg_god9_1,Zenith (early),
msg_god9_2,Zenith (medium),
msg_god9_3,Zenith (mature),
msg_godblock,"You feel the practice seems to encounter a bottleneck, unable to break through!",
msg_godok,Normal State,
msg_hint_guild,Guild,
msg_hp,HP,
MSG_ITEM_SMITHING_FAIL_COUNT,Combination failed: %d,
MSG_NEED_GODLEV,Required Soul level %d ,
msg_rank_err7,Can't evaluate this item.,
msg_rank_err8,Ranking List only shows the Top ,
msg_rank10,Name,
msg_rank11,Level,
msg_rank12,Score,
msg_rank13,Owner,
msg_rank14,Not find your item in the ranking list.,
msg_rank15,Soul Class,
msg_rank8,The evaluation score: %d,
msg_rank9,Evaluate Equipment,
msg_school41,You have not approved apprentice application yet.,
msg_school42,Your master has not approved your application.,
msg_shortcut99,Open/Close Guild Interface,
MSG_SMITHING_BONUS,[+%d] bonus: ,
msg_stall30,Too many characters in your stall name.,
msg_super_no_dead_request,"You have some Phoenix Jackstraw, which can be consumed to revive you without any experience and energy lost, and can revive you at current place.  Will you use it?",
msg_task_can_accept_day_high_list,High Reward Quests,
msg_time_hint_am,%d:%d AM,
msg_time_hint_pm,%d:%d PM,
msg_worldevent1,"Emergency!  Special Boss, The King of Pig Face Cat, suddenly coming out at the Forest Plain in Laurel Mountain!  Heroes are gathering together to fight against the boss. It seems that a battle between justice and evil is about to start!",
MSG_X_GODEXP,Soul Experience %d points,
