程序导标记，不用翻译,,
STRID,LAN,Remark
msg_script_help_xiulian,"Your character level has gone over your Talisman more than one level.  Just press ""S"" to open Talisman operation interface to enhance your Talisman, it can improve its power, and make you kill monster faster.",
msg_script_1428_onendduel_lost,You're so good that I admit defeat.,
msg_script_1428_onendduel_win,How dare you challenge me with such strength!  You'd better practice more.,
msg_script_1428_onstartduel,Show me your strength.,
msg_script_1429_onendduel_lost,You're so good that I admit defeat.,
msg_script_1429_onendduel_win,How dare you challenge me with such strength!  You'd better practice more.,
msg_script_1429_onstartduel,Show me your strength.,
msg_script_1430_onendduel_lost,You're so good that I admit defeat.,
msg_script_1430_onendduel_win,How dare you challenge me with such strength!  You'd better practice more.,
msg_script_1430_onstartduel,Show me your strength.,
msg_script_1431_onendduel_lost,You're so good that I admit defeat.,
msg_script_1431_onendduel_win,How dare you challenge me with such strength!  You'd better practice more.,
msg_script_1431_onstartduel,Show me your strength.,
msg_script_1432_onendduel_lost,You're so good that I admit defeat.,
msg_script_1432_onendduel_win,How dare you challenge me with such strength!  You'd better practice more.,
msg_script_1432_onstartduel,Show me your strength.,
msg_script_4935a1_onhplower_80,"You stupid people, today is the day you die, haha!",
msg_script_4935a3_onhplower_80,"Poor people, let me end your life!",
msg_script_4935a5_onhplower_80,I'll kill you all and ask rewards from our leader for your death!  Haha!,
msg_script_4935a7_onhplower_80,Let me grant you death and liberate your filthy soul!,
msg_script_4935a9_onhplower_80,"Tell me the truth, what on earth did you want to do here?",
msg_script_4935b1_onhplower_50,Damn!  You have some strength. Take care.,
msg_script_4935b3_onhplower_50,Damn!  You dared kick my ass.  I'll kill you!,
msg_script_4935b5_onhplower_50,"You bastards, let me teach you a lesson!",
msg_script_4935b7_onhplower_50,All those against Malefic Hong must die!  To the death!,
msg_script_4935b9_onhplower_50,Leader ordered us to kill enemies. And he'll reward 50 silver for a dead one and 1 gold for an alive one. Take action!,
msg_script_4935c1_onhplower_20,I'll give a lesson to anyone who dares to retreat.  All fight for me!,
