程序导标记，不用翻译,,
STRID,LAN,Remark
ip_bhcard,[no_use],
ip_emcard,[no_use],
ip_fmcard,[no_use],
ip_qccard,[no_use],
ip_tianfu,[no_use],
ip_vn001,Adv. Vivid Spell,
ip_vn002,Small Lucky Bag,
ip_vn003,Package,
ip_vn004,Hamadryad Hierogram,
ip_vn005,Adv. Hamadryad Hierogram,
ip_vn006,Inherence Reset Charm,
ip_vn007,Vivid Spell,
ip_vn008,Yellow Opal,
ip_vn009,Sapphire,
ip_vn010,Medium Emerald,
ip_vn011,Medium Ruby,
ip_vn012,Large Emerald,
ip_vn013,Large Ruby,
ip_vn014,Blue Identify Gem,
ip_vn015,Golden Identify Gem,
ip_vn016,[no_use],
ip_vn017,Seven Stars Titanium Stone,
ip_vn018,Titanium Stone,
ip_vn019,Core Titanium Stone,
ip_vn020,Lucky Snowflake,
ip_vn021,Dark Golden Identify Gem,
ip_vn022,Instant Healing Potion (lvl 2),
ip_vn023,All Stars Ring of Elephant,
ip_vn024,All Stars Ring of Bear,
ip_vn025,All Stars Ring of Dolphin,
ip_vn026,All Stars Ring of Fox,
ip_vn027,Meteor Amulet,
ip_vn028,Breeze Chest (Monk),
ip_vn029,Breeze Chest (Wizard),
ip_vn030,Breeze Chest (Fairy),
ip_vn031,Breeze Chest (Assassin),
ip_vn032,Breeze Chest (Tamer),
ip_vn033,Ganoderma (Pet),
ip_vn034,Golden Monkey (Pet),
ip_vn035,Siberian Husky (Pet),
ip_vn036,Pet Skill Book (HP Upper Limit),
ip_vn037,Pet Skill Book (Mana Upper Limit),
ip_vn038,Pet Skill Book (Auto Pick),
ip_vn039,Firefly Cavy (Pet),
ip_vn040,Moonlight Cavy (Pet),
ip_vn041,Golden Husky (Pet),
ip_vn042,Blue Hornbill (Pet),
ip_vn043,Little Onion (Pet),
ip_vn044,Pet Skill Book (Adv. Energy),
ip_vn045,Pet Skill Book (Defense),
ip_vn046,Silver Wolf,
ip_vn047,Golden Wolf,
ip_vn048,Blue Flame Horse,
ip_vn049,Moon Bear,
ip_vn050,Red Flame Horse,
ip_vn051,White Bear,
ip_vn052,[no_use],
ip_vn053,[no_use],
ip_vn054,[no_use],
ip_vn055,Lucky Crystal Eight,
ip_vn056,Lucky Crystal Nine,
ip_vn057,Red Precious Stone,
ip_vn058,Golden Cure Pill,
ip_vn059,Wind Ring,
ip_vn060,Rain Amulet,
ip_vn061,Joy Ring,
ip_vn062,Red Hornbill (Pet),
ip_vn063,Elite Floater,
ip_vn064,Holy Floater,
ip_wushuang,[no_use],
ip_xqcard,[no_use],
item_mod_class8,Quest,
new_role_hair_faxing6,Hairstyle 6,
new_role_hair_faxing7,Hairstyle 7,
new_role_hair_faxing8,Hairstyle 8,
new_role_head_lianxing6,Face 6,
new_role_head_lianxing7,Face 7,
new_role_head_lianxing8,Face 8,
npc_4792,Mammon,
npc_4793,Pet Merchant,
npc_4794,Grocer,
npc_5043,Hard Monk,
npc_5045,Wooden Box,
npc_5046,,
npc_5047,Flying Thief,
npc_5048,Flying Thief,
npc_5049,Flying Thief,
npc_5050,Flying Thief,
npc_5051,Flying Thief,
npc_5052,Flying Thief,
npc_5053,Dragon Boat Envoy,
npc_5054,Floating Devil,
npc_5055,Rice Dumpling,
npc_5056,Dragon Boat,
npc_5057,Dragon Column,
npc_5058,,
npc_5059,,
npc_5060,Theurgy Lady,
npc_5061,Gem Merchant,
sn001_baimanshan,Simen Mountain,
sn001_chishendong,Candor Cave,
sn001_diliewadi,Magma Bottomland,
sn001_eguixia,Devil Gorge,
sn001_eguixiabei,North of Devil Gorge,
sn001_eguixianan,South of Devil Gorge,
sn001_kongquehe,Peacock River,
sn001_qingshizhou,Blue Rock Land,
sn001_shihualin,Stone Wood,
sn001_sikuangya,Four Standing Cliff,
sn001_xuantiekuangshan,Black Iron Mine,
sn001_yijibeibu,North of Relic,
sn001_yijidongbu,East of Relic,
sn001_yijinanbu,South of Relic,
sn001_yijixibu,West of Relic,
actor_baihuanan,Male,
actor_baihuanv,Female,
actor_emeinan,Wizard 1,
actor_emeinv,Wizard 2,
actor_fomennan1,Male 1,
actor_fomennan2,Male 2,
actor_qingcheng1,Male 1,
actor_qingcheng2,Male 2,
actor_xianqingnan,Male,
actor_xianqingnv,Female,
attrib_banzhi,Ring,
attrib_fuzhufabao,Assistant Talisman,
attrib_hujv,Armor,
attrib_hushengfu,Amulet,
attrib_zhufabao,Weapon Talisman,
bhIndex,"It was created by the immortal nun, You Tan, who only wants female prentices.  Although most of the officers are nun prentices, they don't insist that all the prentices should do a tonsure.  New prentices can cultivate themselves with hair.

Standard Point: HP / Mana
Weapons: Flying Wheel and Pearl",
card_001,[no_use],
card_002,[no_use],
card_003,[no_use],
card_004,[no_use],
card_005,[no_use],
channelinfo_dahan,shout: ,
channelinfo_FindTeam,call on: ,
channelinfo_gaosu,whisper to %s: ,
channelinfo_gonghui,guild: ,
channelinfo_jiaoyi,trade: ,
channelinfo_MasterParty,master: ,
channelinfo_mengpai,profession: ,
channelinfo_OwnParty,apprentice: ,
channelinfo_Rumor,rumor: ,
channelinfo_shijie,world:,
channelinfo_shuo,say: ,
channelinfo_xiaodui,team: ,
channelinfoname_dahan,shout /y,
channelinfoname_FindTeam,call on /f,
channelinfoname_gonghui,guild /g,
channelinfoname_jiaoyi,trade /d,
channelinfoname_MasterParty,master /m,
channelinfoname_mengpai,profession /p,
channelinfoname_OwnParty,apprentice /o,
channelinfoname_Rumor,rumor /u,
channelinfoname_shijie,world /w,
