number,string,,number,string,number,number,number,number,number,number,number,string,cmd,cmd,cmd,cmd,cmd,cmd,number,number;num,number;num,number;num,number;num,number;num,number;num,number;num,number;num,string,number,number,number;num,number;num,,cmd,,cmd,cmd,,,,
任务编号,名称,所属势力,任务等级,任务难度,单次任务,"重复任务每天
最大完成次数",重复任务每日前三次奖励加成,团队自动接受,团队共享,最小接受等级,最大接受等级,门派要求,额外接受要求,任务接受后指令,额外完成要求,完成要求,任务完成指令,任务取消指令,完成时间限制,杀死npc,杀死npc数量,收集道具,收集道具数量,道具掉落npc,掉落道具,道具掉落率,最大掉落数量,交互类型,相关npc,相关npc数量,使用道具,使用道具数量,xxx,任务固定奖励,任务固定奖励,任务选择奖励,任务随机奖励,门派专有奖励,向导屏蔽,,
ID,,force,lev,dif,once,day_num,day_rate,team_accept,team_shared,accept_min_lev,accept_max_lev,accept_party,accept_req,accept_exe,extra_finish_req,finish_req,finish_exe,cancel_exe,time_limit,kill_npc_id,kill_npc_num,get_item_id,get_item_num,item_drop_npcid,item_drop_id,item_drop_rate,item_drop_num,related_type,related_npcid,related_npcnum,use_item_id,use_item_num,,reward_fix_exp,reward_fix,reward_select,reward_random,party_reward,mask,,
5,失落的物品,13,10,0,1,0,,,1,8,99,all,GetTaskItemSpace >= 1,,,,,,0,0,0,221,1,135,221,1,1,,0,,0,99,16 ,AddExp(1680);AddNimbus(840);AddMoney(528),,,,,0,,
12,狼王的毁灭,13,6,1,1,0,,,1,4,99,all,CheckTaskFinished(11),,GetItemSpace >= 2,,,,0,204;203,1;4,0,0,0,0,0,0,,0,,0,99,10 ,AddExp(850);AddNimbus(425);AddMoney(270),,,,"em;AddItemEx(94,0,1,1)
fm;AddItemEx(121,0,1,1)
qc;AddItemEx(592,0,1,1)
bh;AddItemEx(148,0,1,1)
xq;AddItemEx(670,0,1,1)",0,,
15,通缉强盗头子,13,10,1,1,0,,,1,8,99,all,CheckTaskFinished(4),,,,,,0,126,1,0,0,0,0,0,0,,0,,0,99,13 ,AddExp(1365);AddNimbus(682);AddMoney(429),,,,,0,,
16,村民的怒火,13,9,0,1,0,,,1,7,99,all,GetTaskItemSpace >= 1,,GetItemSpace >= 1,,,,0,211,1,0,0,0,0,0,0,,0,,0,99,10 ,AddExp(1000);AddNimbus(500);AddMoney(300),,,,"em;AddItemEx(76,0,1,1)
fm;AddItemEx(103,0,1,1)
qc;AddItemEx(574,0,1,1)
bh;AddItemEx(130,0,1,1)
xq;AddItemEx(652,0,1,1)",0,,
36,邪灵的终结,13,10,1,1,0,,,1,8,99,all,"CheckTaskFinished(35)
GetTaskItemSpace >= 1",,,,,,0,224,1,351,1,224,351,1,1,,0,,0,99,14 ,AddExp(1470);AddNimbus(735);AddMoney(462),,,,,0,,
102,除祸巨蛇,14,11,1,1,0,,,1,9,99,all,CheckTaskFinished(101),,GetItemSpace >= 1,,,,0,234;8,10;1,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(3300);AddNimbus(1650);AddMoney(990),"AddItemEx(356,0,0,1)",,,,0,,
551,佛奴的黑手,11,1,0,1,0,,,1,1,99,all,,,GetItemSpace >= 1,,,,0,0,0,3005,8,3110;3111,3005;3005,0.5;0.5,8;8,,0,,0,99,13 ,AddExp(780);AddNimbus(390);AddMoney(234),,,,"em;AddItem(202,1)
fm;AddItem(200,1)
bh;AddItem(202,1)
qc;AddItem(200,1)
xq;AddItem(200,1)",0,,
471,幸运戒指,13,5,0,1,,,,1,5,99,all,,,GetItemSpace >= 2,,,,,2;216;219;228,5;5;5;1,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(1200);AddNimbus(600);AddMoney(360),"AddItem (3918,1)
AddItemEx(3947,0,0,1)",,,,1,,
472,我的灰兔,15,20,0,1,,,,1,20,99,all,,,GetItemSpace >= 2,,,,,19;23;26;86,10;10;10;10,0,0,0,0,0,0,,0,,0,99,40 ,AddExp(6200);AddNimbus(3100);AddMoney(1920),"AddItem (3919,1)
AddItemEx(3946,0,0,1)",,,,1,,
473,复活节彩蛋,15,30,0,1,,,,1,30,99,all,,,GetItemSpace >= 2,,,,,35;188;297;304;309,1;20;1;20;1,0,0,0,0,0,0,,0,,0,99,55 ,AddExp(11275);AddNimbus(5638);AddMoney(3465),"AddItem (3920,1)
AddItemEx(3945,0,0,1)",,,,1,,
490,七彩宝石,29,50,0,1,,,,1,48,99,all,,,GetItemSpace >= 1,,,,0,0,0,3728;3730;3732;3733;3734;404,20;20;20;20;20;1,0,0,0,0,,0,,0,99,,AddMoney(12000),"AddItemEx(4105,0,0,1)",,,,0,,
491,蓝色魔法,15,25,0,0,,,,1,25,99,all,,,GetItemSpace >= 1,,,,0,0,0,3515;4108;4109;4110,8;1;1;1,0,0,0,0,,0,,0,99,,,"AddItemEx(4105,0,0,1)",,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,烈火令牌收集令,29,47,11,0,3,,,1,45,99,all,,,GetItemSpace >= 1,,,,,4497;4494;4498;4501;4502,1;1;1;1;1,0,0,0,0,0,0,,0,,0,99,,,"AddItemEx(4164,0,0,1)",,,,,,
1338,神秘钥匙,29,47,11,0,,,,1,45,99,all,,,GetItemSpace >= 1,,,,,0,0,4164,1,0,0,0,0,,0,,0,99,,,"AddItemEx(4163,0,0,1)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,难大师的祝福,13,1,0,0,,,,1,1,99,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,,,,"AddEffect(2216)
AddEffect(2217)",,,,,
901,白鹰的力量,13,1,0,0,1,,,1,1,20,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,,,AddEffect(2214),,,,,,
902,白鹰的力量,15,1,0,0,1,,,1,21,40,all,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,,,AddEffect(2215),,,,,,
493,古墓碎片,33,57,11,0,3,,,1,55,99,all,,,,,,,0,4611;4612;4614;4615;,1;1;1;1,0,0,0,0,0,0,,0,,0,99,,AddExp(0);AddNimbus(0);AddMoney(0),"AddItemEx(4179,0,0,1)",,,,,,
494,古墓钥匙,33,57,11,0,,,,1,58,99,all,,,,,,,0,0,0,4179,1,0,0,0,0,,0,,0,99,,AddExp(0);AddNimbus(0);AddMoney(0),"AddItemEx(4178,0,0,1)",,,,,,
801,天化村守护者,13,20,1,1,0,,,1,20,99,all,CheckTaskFinished(800),,,,,,0,126;204;211;224,1;1;1;1,0,0,0,0,0,0,,0,,0,99,32 ,AddExp(4960);AddNimbus(2480);AddMoney(1536),,,,,0,,
822,初生礼物,11,1,0,1,,,,1,1,99,all,,,GetItemSpace >= 1,,,,0,3110,1,0,0,0,0,0,0,,0,,0,99,,,"AddItemEx(4432,0,0,1)",,,,,,
552,采集药草,11,2,0,1,0,,,1,2,99,all,,,,,,,0,0,0,3006,2,3120,3006,1,2,,0,,0,99,19 ,AddExp(1235);AddNimbus(618);AddMoney(399),,,,,0,,
553,赶走山猿,11,3,0,1,0,,,1,3,99,all,,,GetItemSpace >= 1,,,,0,3113,12,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(1050);AddNimbus(525);AddMoney(315),,,,"em;AddItemEx(258,0,1,1)
fm;AddItemEx(267,0,1,1)
bh;AddItemEx(276,0,1,1)
qc;AddItemEx(601,0,1,1)
xq;AddItemEx(679,0,1,1)",0,,
554,收集泉水,11,3,0,1,0,,,1,3,99,all,"CheckTaskFinished(553)
GetItemSpace >= 1","AddItem(3007,1)",,,"RemoveItem(3008,1)","RemoveItem(3008,1)",0,0,0,3008,1,0,0,0,0,,0,,0,99,7 ,AddExp(490);AddNimbus(245);AddMoney(147),,,,,0,,
555,送药,11,3,0,1,0,,,1,3,99,all,"CheckTaskFinished(554)
GetTaskItemSpace >= 1","AddItem(3009,1)",,,"RemoveItem(3009,1)","RemoveItem(3009,1)",0,0,0,3009,1,0,0,0,0,,0,,0,99,7 ,AddExp(490);AddNimbus(245);AddMoney(147),,,,,0,,
557,剿灭大血精灵,11,4,0,1,0,,,1,4,99,all,"CheckTaskFinished(556)
GetTaskItemSpace >= 1","AddItem(3010,3)",GetItemSpace >= 1,,"RemoveItem(3010,3)","RemoveItem(3010,3)",0,3119,1,0,0,0,0,0,0,,0,,0,99,13 ,AddExp(975);AddNimbus(488);AddMoney(312),,,,"em;AddItemEx(85,0,1,1)
fm;AddItemEx(112,0,1,1)
bh;AddItemEx(139,0,1,1)
qc;AddItemEx(583,0,1,1)
xq;AddItemEx(661,0,1,1)",0,,
558,血精灵的秘密,11,4,0,1,0,,,1,4,99,all,CheckTaskFinished(557),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,7 ,AddExp(525);AddNimbus(262);AddMoney(168),,,,,0,,
559,试练,11,5,0,1,0,,,0,5,99,all,,,GetItemSpace >= 1,,,,0,0,0,0,0,0,0,0,0,4,3104,1,0,99,39 ,AddExp(3120);AddNimbus(1560);AddMoney(936),,,,"em;AddItemEx(64,0,202,1)
fm;AddItemEx(71,0,202,1)
bh;AddItemEx(72,0,202,1)
qc;AddItemEx(570,0,202,1)
xq;AddItemEx(648,0,202,1)",0,,
