number,string,,number,string,number,number,number,number,number,number,number,string,cmd,cmd,cmd,cmd,cmd,cmd,number,number;num,number;num,number;num,number;num,number;num,number;num,number;num,number;num,string,number,number,number;num,number;num,,cmd,,cmd,cmd,,,
任务编号,名称,所属势力,任务等级,任务难度,单次任务,"重复任务每天
最大完成次数",重复任务每日前三次奖励加成,团队自动接受,团队共享,最小接受等级,最大接受等级,门派要求,接受要求,任务接受后指令,额外完成要求,完成要求,任务完成指令,任务取消指令,完成时间限制,杀死npc,杀死npc数量,收集道具,收集道具数量,道具掉落npc,掉落道具,道具掉落率,最大掉落数量,交互类型,相关npc,相关npc数量,使用道具,使用道具数量,xxx,任务固定奖励,任务固定奖励,任务选择奖励,任务随机奖励,门派专有奖励,向导屏蔽,
ID,,force,lev,dif,once,day_num,day_rate,team_accept,team_shared,accept_min_lev,accept_max_lev,accept_party,accept_req,accept_exe,extra_finish_req,finish_req,finish_exe,cancel_exe,time_limit,kill_npc_id,kill_npc_num,get_item_id,get_item_num,item_drop_npcid,item_drop_id,item_drop_rate,item_drop_num,related_type,related_npcid,related_npcnum,use_item_id,use_item_num,,reward_fix_exp,reward_fix,reward_select,reward_random,party_reward,mask,
1,神奇的药水,11,1,0,1,0,,,1,1,99,fm,"GetTaskItemSpace >= 1
CheckTaskFinished(8)",,GetItemSpace >= 1,,,,0,0,0,233,4,160,233,1,4,,0,,0,99,4 ,AddExp(240);AddNimbus(120);AddMoney(72),"AddItem (347,3)",,,,0,
2,速送药方,13,5,0,1,0,,,1,4,99,fm,"GetTaskItemSpace >= 1
CheckTaskFinished(13)",AddItem(236),,,"RemoveItem(236,1)","RemoveItem(236,1)",0,0,0,236,1,0,0,0,0,,0,,0,99,4 ,AddExp(320);AddNimbus(160);AddMoney(96),,,,,0,
3,美味兔肉,11,2,0,1,0,,,1,1,99,fm,"CheckTaskFinished(9)
GetTaskItemSpace >= 1",,,,,,0,0,0,234,5,101,234,1,5,,0,,0,99,5 ,AddExp(325);AddNimbus(162);AddMoney(105),,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,围剿野兔幼崽,11,3,0,1,0,,,1,2,99,fm,CheckTaskFinished(3),,GetItemSpace >= 1,,,,0,201,8,0,0,0,0,0,0,,0,,0,99,8 ,AddExp(560);AddNimbus(280);AddMoney(168),"AddItemEx(267,0,1,1)",,,,0,
8,门派历史,11,1,0,1,0,,,1,1,99,fm,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,2 ,AddExp(120);AddNimbus(60);AddMoney(36),,,,,0,
9,修炼法宝,11,2,0,1,0,,,1,1,99,fm,CheckTaskFinished(1),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,2 ,AddExp(130);AddNimbus(65);AddMoney(42),,,,,0,
10,危险的山狼,11,4,0,1,0,,,1,3,99,fm,CheckTaskFinished(7),,,,,,0,202,10,0,0,0,0,0,0,,0,,0,99,10 ,AddExp(750);AddNimbus(375);AddMoney(240),,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,初入江湖,11,5,0,1,0,,,1,3,99,fm,CheckTaskFinished(10),,GetItemSpace >= 1,,,,0,,,0,0,0,0,0,0,,0,,0,99,2 ,AddExp(160);AddNimbus(80);AddMoney(48),"AddItemEx(71,0,202,1)",,,,0,
14,奇异灵芝,13,7,1,1,0,,,1,5,99,all,GetTaskItemSpace >= 1,,,,,,0,10,1,346,1,10,346,1,1,,0,,0,99,3 ,AddExp(270);AddNimbus(135);AddMoney(81),,,,,0,
17,门派历史,12,1,0,1,0,,,1,1,99,em,,,,,,,0,0,0,,,0,0,0,0,,0,,0,99,2 ,AddExp(120);AddNimbus(60);AddMoney(36),,,,,0,
18,兔尾入药,12,2,0,1,0,,,1,1,99,em,CheckTaskFinished(20),,GetItemSpace >= 1,,,,0,0,0,349,5,101,349,1,5,,0,,0,99,5 ,AddExp(325);AddNimbus(162);AddMoney(105),"AddItem (348,3)",,,,0,
19,通灵白兔,12,1,0,1,0,,,1,1,99,em,CheckTaskFinished(17),,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,99,4 ,AddExp(240);AddNimbus(120);AddMoney(72),,,,,0,
20,修炼法宝,12,2,0,1,0,,,1,1,99,em,CheckTaskFinished(19),,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,99,2 ,AddExp(130);AddNimbus(65);AddMoney(42),,,,,0,
21,偷食的野兔幼崽,12,3,0,1,0,,,1,2,99,em,CheckTaskFinished(18),,GetItemSpace >= 1,,,,0,201,8,0,0,0,0,0,0,,0,,0,99,8 ,AddExp(560);AddNimbus(280);AddMoney(168),"AddItemEx(258,0,1,1)",,,,0,
22,赶跑幼年山狼,12,4,0,1,0,,,1,3,99,em,CheckTaskFinished(21),,,,,,0,202,10,0,0,0,0,0,0,,0,,0,99,10 ,AddExp(750);AddNimbus(375);AddMoney(240),,,,,0,
23,初入江湖,12,5,0,1,0,,,1,4,99,em,CheckTaskFinished(22),,GetItemSpace >= 1,,,,0,,,0,0,0,0,0,0,,0,,0,99,2 ,AddExp(160);AddNimbus(80);AddMoney(48),"AddItemEx(64,0,202,1)","
",,,0,
24,老友的问候,13,5,0,1,0,,,1,4,99,em,"GetTaskItemSpace >= 1
CheckTaskFinished(23)",AddItem(206),,,"RemoveItem(206,1)","RemoveItem(206,1)",0,0,0,206,1,0,0,0,0,,0,,0,99,4 ,AddExp(320);AddNimbus(160);AddMoney(96),,,,,0,
38,雨后春笋,23,1,0,1,0,,,1,1,99,qc,GetTaskItemSpace >= 1,,GetItemSpace >= 1,,,,0,0,0,417,4,368,417,1,4,,0,,0,99,4 ,AddExp(240);AddNimbus(120);AddMoney(72),"AddItem (347,3)",,,,0,
39,门派历史,23,1,0,1,0,,,1,1,99,qc,"CheckTaskFinished(38)
GetTaskItemSpace >= 1",,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,2 ,AddExp(120);AddNimbus(60);AddMoney(36),,,,,0,
40,修炼法宝,23,2,0,1,0,,,1,2,99,qc,CheckTaskFinished(39),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,1 ,AddExp(65);AddNimbus(32);AddMoney(21),,,,,0,
41,兔皮披肩,23,2,0,1,0,,,1,2,99,qc,"CheckTaskFinished(40)
GetTaskItemSpace >= 1",,,,,,0,0,0,418,5,101,418,1,5,,0,,0,99,5 ,AddExp(325);AddNimbus(162);AddMoney(105),,,,,0,
42,受惊的野兔幼崽,23,3,0,1,0,,,1,3,99,qc,CheckTaskFinished(41),,GetItemSpace >= 1,,,,0,201,8,0,0,0,0,0,0,,0,,0,99,8 ,AddExp(560);AddNimbus(280);AddMoney(168),"AddItemEx(601,0,1,1)",,,,0,
43,顽皮的幼年山狼,23,4,0,1,0,,,1,3,99,qc,CheckTaskFinished(42),,,,,,0,202,10,0,0,0,0,0,0,,0,,0,99,10 ,AddExp(750);AddNimbus(375);AddMoney(240),,,,,0,
44,初入江湖,23,5,0,1,0,,,1,4,99,qc,CheckTaskFinished(43),,GetItemSpace >= 1,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,2 ,AddExp(160);AddNimbus(80);AddMoney(48),"AddItemEx(570,0,202,1)",,,,0,
45,江湖之路,23,5,0,1,0,,,1,4,99,qc,"CheckTaskFinished(44)
GetTaskItemSpace >= 1",AddItem(206),,,"RemoveItem(206,1)","RemoveItem(206,1)",0,0,0,206,1,0,0,0,0,,0,,0,99,4 ,AddExp(320);AddNimbus(160);AddMoney(96),,,,,0,
46,虎爪山猎手,24,18,0,0,0,,,1,15,99,all,,,,,,,0,352;74;86;,15;12;10,0,0,0,0,0,0,,0,,0,99,37 ,AddNimbus(894);AddExp(536);AddMoney(111),,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,百花山渊源,19,1,0,1,0,,,1,1,99,bh,GetTaskItemSpace >= 1,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,2 ,AddExp(120);AddNimbus(60);AddMoney(36),,,,,1,
52,百合花露,19,1,0,1,0,,,1,1,99,bh,"CheckTaskFinished(51)
GetTaskItemSpace >= 1",,GetItemSpace >= 1,,,,0,0,0,354,4,229,354,1,4,,0,,0,99,4 ,AddExp(240);AddNimbus(120);AddMoney(72),"AddItem (348,3)",,,,1,
53,法宝修炼,19,2,0,1,0,,,1,2,99,bh,CheckTaskFinished(52),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,1 ,AddExp(65);AddNimbus(32);AddMoney(21),,,,,1,
54,炼丹材料,19,2,0,1,0,,,1,2,99,bh,"CheckTaskFinished(53)
GetTaskItemSpace >= 1",,,,,,0,0,0,220,5,230,220,1,5,,0,,0,99,5 ,AddExp(325);AddNimbus(162);AddMoney(105),,,,,1,
55,奇怪的征兆,19,3,0,1,0,,,1,3,99,bh,CheckTaskFinished(54),,GetItemSpace >= 1,,,,0,76,8,0,0,0,0,0,0,,0,,0,99,8 ,AddExp(560);AddNimbus(280);AddMoney(168),"AddItemEx(276,0,1,1)",,,,1,
56,鬼气森森,19,4,0,1,0,,,1,3,99,bh,CheckTaskFinished(55),,GetItemSpace >= 1,,,,0,119,10,0,0,0,0,0,0,,0,,0,99,10 ,AddExp(750);AddNimbus(375);AddMoney(240),,,,,1,
57,初入江湖,19,5,0,1,0,,,1,4,99,bh,CheckTaskFinished(56),,GetItemSpace >= 1,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,2 ,AddExp(160);AddNimbus(80);AddMoney(48),"AddItemEx(72,0,202,1)",,,,1,
58,拜访隐士,18,5,0,1,0,,,1,4,99,bh,"CheckTaskFinished(57)
GetTaskItemSpace >= 1",AddItem(206),,,"RemoveItem(206,1)","RemoveItem(206,1)",0,0,0,0,0,0,0,0,0,,0,,0,99,4 ,AddExp(320);AddNimbus(160);AddMoney(96),,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,虎爪山勇者,24,15,0,0,0,,,1,13,99,all,,,,,,,0,88;350,18;18,0,0,0,0,0,0,,0,,0,99,36 ,"AddCredit(17,360);AddExp(936);AddNimbus(156)",,,,,0,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
125,云灵山蛇妖,14,15,0,1,0,,,1,13,99,all,,,,,,,0,9;11;12,15;12;10,0,0,0,0,0,0,,0,,0,99,38 ,"AddCredit(14,380);AddExp(988);AddNimbus(165)",,,,,0,
126,云灵山鬼气,14,18,0,0,0,,,1,15,99,all,,,,,,,0,15;16;17,15;12;10,0,0,0,0,0,0,,0,,0,99,38 ,AddNimbus(918);AddExp(551);AddMoney(114),,,,,0,
127,避邪村的烦恼,15,21,0,1,0,,,1,19,99,all,,,,,,,0,19;22;28,15;12;10,0,0,0,0,0,0,,0,,0,99,38 ,"AddCredit(15,380);AddExp(1216);AddNimbus(203)",,,,,0,
128,成都盗匪,15,23,0,0,0,,,1,20,99,all,,,,,,,0,20;249;241;,15;15;15,0,0,0,0,0,0,,0,,0,99,47 ,AddNimbus(1332);AddExp(799);AddMoney(160),,,,,0,
129,慈云羽翼,16,26,0,1,0,,,1,23,99,all,,,,,,,0,27;30;124;,15;15;15,0,0,0,0,0,0,,0,,0,99,47 ,"AddCredit(16,470);AddExp(1739);AddNimbus(290)",,,,,0,
130,慈云妖人,16,28,0,0,0,,,1,25,99,all,,,,,,,0,68;244;245;,15;15;15,0,0,0,0,0,0,,0,,0,99,47 ,AddNimbus(1528);AddExp(916);AddMoney(188),,,,,0,
131,碧泉涧危机,26,32,0,0,0,,,1,25,99,all,,,,,,,0,186;188;377;,15;15;15,0,0,0,0,0,0,,0,,0,99,47 ,AddNimbus(1684);AddExp(1010);AddMoney(207),,,,,0,
132,清远寺危机,22,40,0,0,0,,,1,38,99,all,,,,,,,0,310;311;314;,15;15;15,0,0,0,0,0,0,,0,,0,99,47 ,AddNimbus(1998);AddExp(1198);AddMoney(244),,,,,0,
133,天化村危机,13,7,0,0,0,,,1,5,99,all,,,,,,,0,222;223,5;5,0,0,0,0,0,0,,0,,0,99,53 ,"AddCredit(13,530);AddExp(954);AddNimbus(159)",,,,,0,
156,护送道友,15,25,1,0,3,,1,1,25,99,all,,,,,,,0,0,0,0,0,0,0,0,0,2,254,1,0,99,150,AddMoney(3000);AddNimbus(3000);AddExp(3000),,,,,0,
163,望江矮叟,15,24,0,1,0,,,1,22,99,all,CheckTaskFinished(188),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,5,AddExp(875);AddNimbus(438);AddMoney(270),,,,,0,
