程序导标记，不用翻译,,
ID,Name,Desc
2044,Experience Increase,increase $EffParam1$% experience from monster killing
2240,Metamorphosis of Rice Dumpling,
2241,Metamorphosis of Dragon Boat Panda,
2242,Metamorphosis of Snake Demon,
2243,Metamorphosis of Rice Dumpling,
2244,Metamorphosis of Dragon Boat Panda,
2245,Metamorphosis of Snake Demon,
1,Thunder,
2,Thunder,
3,Thunder,
4,Soul,
5,Soul,
6,Healing,"increase 250 HP, lasting 10 seconds"
7,Wounding,cause damage lasting for 10 seconds
8,Wounding,cause damage lasting for 10 seconds
9,Slow,speed slow down 50%
10,Add Strength Temp,"increase strength 10 points, lasting for 3 minutes"
11,Maximize Mana Temp,"increase mana upper limitation 500 points, lasting for 6 minutes"
12,Burning,fire cause damage lasting for 15 seconds
13,Healing (lvl 1),"increase 10 HP per second, lasting 15 seconds"
14,Mana Recovery (lvl 1),"increase 16 mana per second, lasting 15 seconds"
15,Maximize HP,increase master's upper limitation of HP $EffParam1$ points
16,Increase Mana Recovery Speed,increase master's mana recovery speed $EffParam1$ points per second  in non-battle state
17,Maximize Mana,increase master's mana upper limitation $EffParam1$ points
18,Increase HP Recovery Speed,increase master's HP healing speed $EffParam1$ points per second in non-battle state
31,Faint (Thunder Faint),"target faint for 5 seconds, recovered when be attacked"
32,Lightning Weakness (Lightning Slice),lightning attack cause target $EffParam1$ points extra damage
33,Buddha Weakness (Golden Lotus),buddha attack cause target $EffParam1$ points extra damage
34,Poison (Golden Lotus),"cause target $EffParam1$ poison damage in every 2 seconds, lasting 10 seconds"
35,Heal (Cure Spell),"increase target $EffParam1$ HP in every 2 seconds, lasting 10 seconds"
36,Maximize HP (Sun Needle),"increase target HP upper limitation $EffParam1$ points, lasting 10 seconds"
37,Dizziness (Cloud Dimming),target dizzy for 3 seconds
38,Slow (Cloud Balk),target speed down for 10 seconds
39,Poison (Cloud Balk),"cause target $EffParam1$ poison damage in every 2 seconds, lasting 10 seconds"
40,Damage Lasting (Purple Smoke),"cause target $EffParam1$ damage in every 2 seconds, lasting 10 seconds"
41,Revive (Purple Crystal),target $EffParam1$% chance to revive
42,Absorb Damage (Purple Shield),absorb damage $EffParam1$ points in 60 seconds
43,Slow (Lightning Chain),target speed down $EffParam1$%
44,Attack Increase (Storm Power),attack increase $EffParam1$ points
100,Healing (lvl 2),"increase 16 HP per second, lasting 15 seconds"
101,Mana Recovery (lvl 2),"increase 24 mana per second, lasting 15 seconds"
102,Healing (lvl 3),"increase 24 HP per second, lasting 15 seconds"
103,Mana Recovery (lvl 3),"increase 36 mana per second, lasting 15 seconds"
104,Healing (lvl 4),"increase 32 HP per second, lasting 15 seconds"
105,Mana Recovery (lvl 4),"increase 48 mana per second, lasting 15 seconds"
106,Healing (lvl 5),"increase 42 HP per second, lasting 15 seconds"
107,Mana Recovery (lvl 5),"increase 60 mana per second, lasting 15 seconds"
108,Healing (lvl 6),"increase 52 HP per second, lasting 15 seconds"
109,Mana Recovery (lvl 6),"increase 78 mana per second, lasting 15 seconds"
110,Healing (lvl 7),"increase 64 HP per second, lasting 15 seconds"
111,Mana Recovery (lvl 7),"increase 96 mana per second, lasting 15 seconds"
112,Healing (lvl 8),"increase 76 HP per second, lasting 15 seconds"
113,Mana Recovery (lvl 8),"increase 114 mana per second, lasting 15 seconds"
114,Healing (lvl 9),"increase 90 HP per second, lasting 15 seconds"
115,Mana Recovery (lvl 9),"increase 136 mana per second, lasting 15 seconds"
116,Healing (lvl 10),"increase 106 HP per second, lasting 15 seconds"
117,Mana Recovery (lvl 10),"increase 160 mana per second, lasting 15 seconds"
118,Healing (lvl 11),"increase 122 HP per second, lasting 15 seconds"
119,Mana Recovery (lvl 11),"increase 184 mana per second, lasting 15 seconds"
120,Maximize HP,"increase master's upper limitation of HP, 20 + pet's level * (10+ master's HP*0.01) points"
121,Increase Mana Recovery Speed,"increase mana recovery speed, in every 2 seconds, pet's level * (1.5 + master' mana * 0.001) points"
122,Maximize Mana,"increase master's mana upper limitation, 30 + pet's level * (15 + master's mana * 0.01) points"
123,Increase HP Recovery Speed,"increase master's HP healing speed, in every 2 seconds, pet's level * (1 + master's HP * 0.001) points"
124,Strong Healing (lvl 1),"strong medicine, recover 150 HP in 15 seconds, can be used in battle"
125,Strong Mana Recovery (lvl 1),"strong medicine, recover 225 Mana in 15 seconds, can be used in battle"
126,Strong Healing (lvl 2),"strong medicine, recover 450 HP in 15 seconds, can be used in battle"
127,Strong Mana Recovery (lvl 2),"strong medicine, recover 675 Mana in 15 seconds, can be used in battle"
128,Vulnerary (S),"increase 120 HP in 10 seconds, it can be used in battle"
129,Vulnerary (M),"increase 500 HP in 10 seconds, it can be used in battle"
130,Vulnerary (L),"increase 1000 HP in 10 seconds, it can be used in battle"
