程序导标记，不用翻译,,
STRID,LAN,Remark
1110,"Requirements:
1. Being a Master: Character must be level 30 or above
2. Being an Apprentice: Character's level must be 5 to 20 (including 5 and 20) and does not have a Master.

Hints:
1. Master shall deal with the application as soon as possible, because the applicant can only use Apprenticeship System after being an apprentice. 
2. If an Apprentice does not report to Master in seven real days, master can expulse the apprentice without punishment for both parties.
3. A loss of 5% of Experience of present level will be caused to the party who stops the Master & Apprentice relationship unilaterally, and this party can not deal with the Master & Apprentice relationship within six hours.

Graduation:
1. Apprentice needs to team up with Master (Master must be team leader) when reaches level 30, and talk to Gentleman to complete the graduation ceremony.
2. Apprentice will be Graduated Apprentice after graduation and can recruit apprentice.

Rewards for Apprentice:
1. Apprentice can gain additional 5% Experience and 20% Energy of own after reporting to Master each time. 
2. When Apprentice reaches level 10 and 20, he/she will get two bound blue Weapon Talisman, and two green bound Weapon Talisman as graduation reward when level 30, and two Elite Energy Stone when level 40.  All of these rewards can be gained from Post Officer.

Rewards for Master:
1. Master can gain additional 10% Experience and 40% Energy of the Apprentice's after each report. 
2. When Apprentice reaches level 20, Master will be rewarded one Advanced Energy Stone; when Apprentice graduates, Master will get one Elite Energy Stone as reward; when Apprentice reaches level 40, Master will get Blue Identify Gems and Medium Emerald.  All of these rewards can be gained from Post Officer when Apprentice reaches required levels.
3. When Apprentice above level 10 reports each time, and when Apprentice graduated, Master will get Master Points.  Master Points can be exchanged to Reputation Points at Reputation Merchant, the exchange rate is: 1 Master Point = 100 Reputation Points (except special scene). 
",
1185,Auto,
1186,"If you choose it, system will automatically turn on the secret exercise every time when you log off.",
1187,T-Points,
1188,Ok,
1189,Cancel,
1190,Pick up all,
1191,Cancel,
1192,Connecting to the server…,
1193,Activate Char,
1194,You need change this character's name to enter game.,
1195,New Name,
1196,Activate Char,
1197,Modify Name,
1198,Menu,
1199,Attention: ,
1200,"Due to the mergence of servers, your account has more than 3 characters on this server now.  You are recommended to block unwanted characters to make sure there are no more than 3 characters in your account on this server.  All blocked characters will be deleted a few days later.  If you want to reactivate undeleted blocked character, please do it here.",
1111,Not to show evaluation points.,
1112,Failure: ,
1113,"If failed, you will lose combine gem and fortune item.  But the item's Plus Rank won't be changed, and some additional success rate will be increased.",
1114,Kill,
1115,Scenario Seven Stars Stage,
1116,Scenario Seven Stars Stage,
1117,Scenario Spider Catacomb,
1118,Warehouse Password: ,
1119,Set Password,
1120,Old Password: ,
1121,New Password: ,
1122,Ok,
1123,Reset,
1124,Re-enter: ,
1125,Group Arena,
1126,Competition Points,
1127,Rank,
1128,Name,
1129,Level,
1130,Profession,
1131,Soul Class,
1132,Guild,
1133,Prosperity,
1134,Guild Leader,
1135,Score,
1136,Owner,
1137,Name,
1138,Position,
1139,Profession,
1140,Level,
1141,Personal,
1142,Group,
1143,PVE Score,
1144,Attend,
1145,Our Points,
1146,Enemy Points,
1147,Exit,
1148, ,
1149, ,
1150, ,
1151, ,
1152, ,
1153,Body Figure,
1154,Skin Color,
1155,Our Group,
1156,Enemy Group,
1157,Guild,
1158,Monk,
1159,Wizard,
1160,Assassin,
1161,Fairy,
1162,Tamer,
1163,Operation,
1164,Friend,
1165,Friend Info,
1166,Competition Info,
1167,Moon Dragon Village,
1168,Bandit Lair,
1169,East of Simen Mountain,
1170,South of Simen Mountain,
1171,Outskirt of Village,
1172,Dry Woods,
1173,Old Site of Village,
1174,West of Simen Mountain,
1175,Simen Mountain,
1176,Foothill of Simen Mountain,
1177,South of Simen Mountain,
1178,Outskirt of Village,
1179,Dry Woods,
1180,Old Site of Village,
1181,Tire Value ,
1182,Scenario Silver Fox Cave,
1183,Buy Points,
1184,Shop Help,
1,title,大字体
2,17,大字体的大小1
3,18,大字体的大小2
4,19,大字体的大小3
101,Character,
102,Character Attribute,
103,Character Name,
104,Professions,
105,Level,
106,HP,
107,Energy,
108,PK Value,
109,Basic,
110,Strength,
111,Dexterity,
112,Intelligence,
113,Vitality,
114,99999,
115,99999,
116,99999,
117,99999,
118,Extended,
119,Damage,
120,Block,
121,Defense,
122,Dodge,
123,C.Strike,
124,Elements Resistance,
125,Fire Attack,
126,Water Attack,
127,Buddha Attack,
128,Poison Attack,
129,Lightning Attack,
130,99999,
131,99999,
132,99999,
133,99999,
134,99999,
135,Fire ,
136,Water ,
137,Buddha ,
138,Poison ,
139,Lightning ,
140,70  /  99.2%,
141,3123 / 342312,
142,1234 / 112344,
143,99999,
144,Progress of Enhancement,
145,Progress of Enhancement,
146,Reputation Level 1,
147,Progress of Enhancement,
148,Reputation Level 1,
149,Progress of Enhancement,
150,Reputation Level 1,
151,Progress of Enhancement,
152,Reputation Level 1,
153,Progress of Enhancement,
154,Reputation Level 1,
155,Progress of Enhancement,
156,Reputation Level 1,
157,Progress of Enhancement,
158,Reputation Level 1,
159,Progress of Enhancement,
160,Reputation Level 1,
161,Progress of Enhancement,
162,Reputation Level 1,
163,Reputation Level 1,
164,Progress of Enhancement,
165,Normal Act,
166,Mood Act,
167,Attribute,
168,Soul,
169,Reputation,
170,Act,
171,Skill,
172,Talisman,
173,Living,
174,Training,
175,Talisman,
176,Skills,
177,Inherence,
178,Super Skill,
179,Points,
180,Potential Points,
181,99,
182,Lock/Unlock Item,
183,Destroy Item,
184,Item,
185,Quest,
186,Item,
187,Jan. 2nd,
188,999999,
189,99,
190,99,
191,Quit,
192,System,
193,Account,
194,Password,
195,Ok,
196,Create Account,
197,Remember Account,
198,Enter Game,
199,Back,
200,Delete Char,
201,Information,
202,Select Server,
203,Create Char,
204,Server List,
205,Ok,
206,Cancel,
207,Back,
208,Agree,
209,Profession,
210,Hair,
211,Face,
212,Name,
213,Password,
214,Random,
215,Male,
216,Female,
217,My Name,
218,99,
219,99,
220,99,
221,1,
222,Member 2,
223,99,
224,1,
225,99,
226,1,
227,99,
228,1,
229,Map Adjustment,
230,Map On/Off,
231,My Position,
232,Zoom In,
233,Zoom Out,
234,Back to Default,
235,Free,
236,Dice,
237,Teamlead,
238,Green,
239,Blue,
240,Golden,
241,My Name,
242,99,
243,Peace,
244,Normal,
245,Free,
246,Up,
247,Down,
248,Largen,
249,Reduce,
250,Channels Filter,
251,Show Last Sentence,
252,World,
253,Trade,
254,Profession,
255,Whisper,
256,Shout,
257,Guild,
258,Team,
259,Say,
260,Filter,
261,Symbols,
262,World,
263,Trade,
264,Profession,
265,Whisper,
266,Shout,
267,Guild,
268,Team,
269,Say,
270,Move,
271,Up,
272,Down,
273,1,
274,Attribute,
275,Skill,
276,Item,
277,Quest,
278,Community,
279,System,
280,Exp. Percent,
281,Graphics,
282,Audio,
283,Interface,
284,Keys,
285,Re-Login,
286,Quit Game,
287,Resume,
288,Help,
289,System,
290,Character's Exclusive Setting,
291,Function,
292,Keys Setting 1,
293,Keys Setting 2,
294,Back to Default,
295,Clear Setting,
296,Ok,
297,Cancel,
298,Keys Setting,
299,Basic,
300,Advanced,
301,Control,
302,Display,
303,Help,
304,Name,
305,Level,
306,HP,
307,Guild,
308,NPC Name,
309,Your Own Name,
310,Guild Icon,
311,Position in Guild,
312,Dialogue,
313,Pet Owner's Name,
314,NPC's HP,
315,Tips,
316,Shortcut,
317,Lock Shortcut,
318,Always Show,
319,Show Right 1,
320,Show Lower Left,
321,Show Lower Right,
322,Show Right 2,
323,Chat,
324,Float Battle Info,
325,Battle Info On,
326,Floating Mode,
327,HP / Mana Reminding,
328,Show Effect,
329,Effect End Info,
330,Show Battle State,
331,Show Dodge/Block/Miss,
332,Show Damage Decreased,
333,Show Healer's Name,
334,Show Combo Hits,
335,Show Damage,
336,Periodic Damage,
337,Damage from Pet,
338,Click Can through the Chatting Frame,
339,Teams,
340,Default ,
341,Ok,
342,Cancel,
343,Interface Settings,
344,Effect Volume,
345,Music Volume,
346,3D Audio Effect,
347,Default,
348,Ok,
349,Cancel,
350,Audio Settings,
351,Screen Size,
352,Pic Quality,
353,Shadow,
354,Graphics Soften,
355,Full Screen,
356,Lock the View,
357,Scr Players,
358,Refresh,
359,Bit Depth,
360,Default,
361,Ok,
362,Cancel,
363,Quest,
364,Pet Attack,
365,Pet Return,
366,Pet Defense,
367,Pet Rest,
368,Summon Pet,
369,Recall Pet,
370,Page Up,
371,Page Down,
372,Searching,
373,Dice,
374,Abandon,
375,Dice,
376,Abandon,
377,Dice,
378,Abandon,
379,Dice,
380,Abandon,
381,Dice,
382,Abandon,
383,Dice,
384,Abandon,
385,Dice,
386,Abandon,
387,Dice,
388,Abandon,
389,Dice,
390,Abandon,
391,Dice,
392,Abandon,
393,Start,
394,Stop,
395,Energy,Enhance UI
396,10/35,
397,Talisman,Enhance UI
398,10/35,
399,Enhance,Enhance UI
400,Quest List,
401,Give It Up,
402,Trace It,
403,Friends List,
404,Add,
405,Message,
406,Send Mail,
407,Delete,
408,Team,
409,Options,
410,Block,
411,Remove,
412,Options,
413,Friends,
414,Block,
415,Buy,
416,Jan. 2nd,
417,999999,
418,99,
419,99,
420,999999,
421,99,
422,99,
423,Buy,
424,Cancel,
425,Cost,
426,Rest,
427,Sell,
428,Jan. 2nd,
429,999999,
430,99,
431,99,
432,999999,
433,99,
434,99,
435,Sell,
436,Cancel,
437,Get,
438,Total,
439,Shop,
440,Amt.,
441,Buy,
442,Amt.,
443,Buy,
444,Amt.,
445,Buy,
446,Amt.,
447,Buy,
448,Amt.,
449,Buy,
450,Amt.,
451,Buy,
452,Amt.,
453,Buy,
454,Amt.,
455,Buy,
456,Amt.,
457,Buy,
458,Amt.,
459,Buy,
460,Trade,
461,999999,
462,99,
463,99,
464,Trade,
465,Lock,
466,Ok,
467,Cancel,
468,Warehouse,
469,999999,
470,99,
471,99,
472,Fund,
473,Deposit,
474,Withdraw,
475,Merge,
476,Cancel,
477,Merge,
478,Note,
479,Merge Preview,
480,Pet,
481,Pet Name,
482,Level 37,
483,100/200,
484,100/200,
485,Pets in Warehouse,
486,Pet Name Hahahaha,
487,Level 37,
488,100/200,
489,100/200,
490,Pet Name Hahahaha,
491,Level 37,
492,100/200,
493,100/200,
494,Pet Name Hahahaha,
495,Level 37,
496,100/200,
497,100/200,
498,Withdraw/Deposit,
499,Close,
500,Set Free,
501,Pet,
502,Dialogue,
503,Close,
504,Identify,
505,Cancel,
506,Identify,
507,Note,
508,Item Name,
509,Level Range,
510,Rare Rate,
511,Profession Select,
512,Suitable,
513,Search,
514,List,
515,Bid,
516,Current,
517,Bid,
518,Buy Now,
519,Close,
520,PgUp,
521,PgDown,
522,Item Name,
523,Time Left,
524,Level,
525,Seller,
526,Price,
527,Search,
528,Bid,
529,Buy Now Price,
530,Close,
531,Current,
532,PgUp,
533,PgDown,
534,Item Name,
535,Level,
536,Valid Time,
537,Buy Now Price,
538,Bidder,
539,Current Price,
540,Current Price,
541,Bid,
542,Sell Item,
543,Start Price:,
544,Valid Time:,
545,2 Hours,
546,8 Hours,
547,24 Hours,
548,Buy Now Price: ,
549,Storage Fee: ,
550,Start,
551,Current:,
552,Cancel,
553,Close,
554,PgUp,
555,PgDown,
556,Item Name,
557,Valid Time,
558,Bidder,
559,Current Price,
560,Auction,
561,Search,
562,Bid,
563,Auction,
564,PgUp,
565,PgDown,
566,Delivery,
567,Get,
568,Item Name,
569,Get From,
570,Due Time,
571,Item Producing,
572,All,
573,Witch Cape,
574,Materials,
575,Make All,
576,Make,
577,Cancel,
578,12345,
579,Mail Box,
580,Inbox,
581,Outbox,
582,Days Left,
583,PgUp,
584,PgDn,
585,Receiver,
586,Fee: 10,
587,Subject,
588,Send,
589,Cancel,
590,Attachment,
591,Mail,
592,Sender,
593,Subject,
594,Delete,
595,Close,
596,Get Attachment,
597,Game Help,
598,Combine,
599,Cancel,
600,Combine,
601,Note: ,
602,Money Cost: ,
603,Ok,
604,Cancel,
605,Guild Info,
606,Add Member,
607,Guild Control,
608,Offline Members,
609,Area,Guild Member Info
610,Level,Guild Member Info
611, Online,Guild Member Info
612,Title,Guild Member Info
613,Remove,Guild Member Info
614,Team Up,Guild Member Info
615,Profession,Guild Member Info
616,Level,Guild Member Info
617,Today's Guild Info,
618,Release,
619,Clear,
620,Guild Name: ,
621,How to Setup a Guild: ,
622,Setup Guild,
623,Cancel,
624,Guild,
625,Pet Name,
626,Mana,
627,Mind,
628,Pet Skill,Passive
629,Pet Skill,Offensive
630,Pet Skill,
631,Name,Pet Info
632,Level,Pet Info
633,Happy,Pet Info
634,Exp.,Pet Info
635,Forget,
636,Code:,
637,Password:,
638,Sell T-Points,
639,Shop,
640,T-Points:,
641,Set,Guild Member Info
642,Code:,
643,Password:,
645,Mushroom Village,
646,Gangster Alley,
647,Belvedere,
648,Center Square,
649,Stone City,
650,都,
651,城,
652,Mercy Temple,
653,Arms Bear Residence,
654,West Suburb of Stone City,
655,Bothy,
656,Wei's Village,
657,Mercy Temple,
658,云,
659,寺,
660,To Green Scarp,
661,To Golden Peak Mountain,
662,To Blue Mountain,
663,Sky Village,
664,Snake Swamp,
665,Black Campo,
666,South Wasteland,
667,Sky Village,
668,化,
669,村,
670,Ancient Laurel Grounds,
671,Green Spring Gully,
672,Red Flower Cave,
