程序导标记，不用翻译,,
STRID,LAN,Remark
npctalk5053,Good day!  Hope everyone try best to acquire good skills and great power!  Eliminate evil monsters to protect the people!,
help_fbxt_duanzaocailiao,"The Materials for Combination:

The materials for combine the Talisman or Mount are different from those for combine the Defense Gear. The materials for combine the Talisman is 'Emerald', while the materials for combine the Defense Gear is 'Ruby'.

The same kind of equipment may also use different materials because of different Plus Rank.

For Talisman and Mount:
to Plus Rank 1-3      Small Emerald
to Plus Rank 4-6      Medium Emerald
to Plus Rank 7-10    Large Emerald

For Defense Gear:     
to Plus Rank 1-3      Small Ruby
to Plus Rank 4-6      Medium Ruby
to Plus Rank 7-10    Large Ruby
",
help_fbxt_fabaodengji,"What are the levels of Talisman:

There are three levels of Talisman: initial, current, and maximum.  The initial level refers to the level when the Talisman was set up in the game.  The current level means the effective level at the moment.  It can be improved through enhancing with energy, but it cannot surpass the maximum level.  The maximum level means the highest level that a Talisman can be.  The power of the skills on a Talisman usually relates to the current level of the Talisman. ",
help_fbxt_fabaoduanzao,"Combine the Equipments:

Combination can improve item's power, and the appearance of the item will become more shinning. To combine items, you need get Ruby (for Defense Gear) or Emerald (for Talisman and Mount) first, then go to the Blacksmith to finish the combination.  Once the combination is success, your item Plus Rank get raised.

The Effect of the Combination:

The attack power improves after the Talisman has been combined successfully.  The physical defense and the magic defense improved after the defense gear has been combined successfully.  The mount moves faster and has more cool shape.  And some extra attributes, like increase critical strike rate, increase HP, etc., will add to Talisman and Defense Gear of high Plus Rank.",
help_fbxt_fabaogainian,"What's the Talisman:

The Talisman is a kind of special tool which can strengthen characters' power greatly.  There are all kinds of skill on the Talisman.  The level of the Talisman can be  enhanced with energy, thus to get skills that are more powerful.  The Talisman are classified as Weapon Talisman and Assistant Talisman.  One character can be equipped with one Weapon Talisman and two Assistant Talisman in the same time. ",
help_fbxt_fabaojianding,"Identify the Talisman:

In the game, one can get some equipment with hidden attribute by finish quest or beat monsters.  If you want to activate the hidden attribute, you have to go to the blacksmith's to have the equipment identified. 

The materials for identify:

To identify the equipments, it needs materials.  You can buy 'Identify Gem' in the shopping mall to identify.  Besides, with the different degrees of  equipments, different kinds of 'Identify Gem' are needed.  The Green Equipments need 'Green Identify Gem', Blue Equipments need 'Blue Identify Gem' and Golden Equipments need 'Golden Identify Gem'. ",
help_fbxt_fabaojineng,"How to use the skills of Talisman:

Open the skill interface, on the interface, there lists the Talismans you equipped at that moment.  Select Weapon Talisman or Assistant Talisman, related skills show below.  You can drag the skill icon into the hotkey or shortcut tray.  Use the skill by pressing the hotkey or clicking the shortcut.",
help_fbxt_fabaoronghe,"Merge the Talisman:

With the improvement of character’s level, some present Talismans will be not suitable for players to use any longer.  In that case, you can choose to merge the Talisman.

The Rules to Merge the Talisman:

The Talismans that are going to be merged should be the same type.  The Talisman from mergence obtains the level of the first Talisman and obtains the quality and attribute of the second Talisman.  By merging the Talisman, the players can save much time to re-enhancing the Talisman. ",
help_fbxt_fabaoxiulian,"Enhancing Talisman:

Only energy can be used to enhance Talisman. Energy can be accumulated through killing monsters and finishing quests. Besides, Talisman’s level must be in line with its character’s level. New skills and more attributes can be available through enhance. 

In enhance interface, the number in the column of 'Energy' is the Energy that the player accumulated from killing monsters and finishing quests, while the column of 'Talisman' shows the number of Energy that is needed to enhance the Talisman to the next level.

First of all, please open the interface of Skill by press 'S', and find Talisman operation icon 'Enhance'.  Click the icon to open the enhancing interface.  To enhance, you need to put your Talisman into the blank in the middle of the 'Enhance' interface.",
help_fbxt_fabaozhuangbei,"How to equip a Talisman:

To equip Talisman is as same as other normal equipments.  But the Talisman have their specific place to equip.  They can only be equipped in the corresponding Talisman column.  A character cannot equip a Talisman that his/her level has not reached the required equipping level of the Talisman.  The Talisman cannot be equipped or unequipped in battle. ",
