程序导标记，不用翻译
ID,Prefix,Content
1,forced smile,$N feels so sad.
10,smile1,$N smiled to everyone.
100,good bye 1,$N saluted and saying: see you next time.
101,good bye 2,$N sighed saying: I will miss you .
102,good bye 2,$N looked at $n saying: I will miss you.
103,good bye 2,$N sighed saying: I will miss you .
104,good bye 2,$N looked at $n saying: I will miss you.
105,good bye 2,$N said: I am looking forward to meet you next time. 
106,caution,$N sighed: what a selfish world.
107,caution,$N advise $n: don't showing off.
108,caution,$N sighed: what a selfish world.
109,caution,$N advise $n: don't showing off.
11,confused1,$N is confused.
110,caution,$N sighed: what a selfish world.
111,scratch,$N extend his/her hands up to no good.
112,scratch,$N scratch his/her face.
113,scratch,$N extend his/her hands up to no good.
114,scratch,$N scratched $n's face.
115,scratch,"$N said if you make some more trouble, I will disfigure you."
116,prattle,$N said what a nice weather today. Hehehe.
117,prattle,"$N saluted to $n, saying: hahaha ok."
118,prattle,$N said what a nice weather today. Hehehe.
119,prattle,"$N saluted to $n, saying: hahaha ok."
12,confused1,$N is confused and look at $n try to find the answer.
120,prattle,"$N saluted to everyone saying: hahaha, ok."
121,cudgel,"$N was hit on his/her feet, and he is crying now."
122,cudgel,"$N hit $n's head, $n fell on the floor."
123,cudgel,"$N was hit on his feet, and he is crying now."
124,cudgel,"$N hit $n's head, $n fell on the floor."
125,cudgel,"$N brandish his/her cudgel, trying to find his/her target."
126,cold,"$N is so cold, he looks like just pulled out from ice hollow."
127,cold,"$N looked at $n, from his/her eyes, $n feels the cold."
128,cold,"$N is so cold, he looks like just pulled out from ice hollow."
129,cold,"$N looked at $n, from his/her eyes, $n feels the cold."
13,confused1,$N is confused.
130,cold,$N is so cold and even sneezed.
131,comfort,"$N said, I don't need your comfort, you guys just look down of me."
132,comfort,"$N comfort $n, world is not only filled with happiness."
133,comfort,"$N said, I don't need your comfort, you guys just look down of me."
134,comfort,"$N comfort $n, the world is not only filled with happiness."
135,comfort,"$N comfort everyone, the world is not only filled with happiness."
136,congratulation,$N smiled and said: thank you.
137,congratulation,$N speaks to $n: congratulations.
138,congratulation,$N smiled and said: thank you.
139,congratulation,$N speaks to $n: congratulations.
14,confused1,$N is confused and look at $n try to find the answer.
140,congratulation,$N said congratulations.
141,cook,$N is preparing to cook himself as a food.
142,cook,"$N put the meat $n diced in to pan, and fry it."
143,cook,$N is preparing to cook himself as a food.
144,cook,"$N put the meat $n diced in to pan, and fry it."
145,cook,$N if preparing to make some foods.
146,mummy,$N is dead.
147,mummy,$N makes $n a Mummy.
148,mummy,$N is dead.
149,mummy,$N makes $n a Mummy.
15,confused1,$N is confused.
150,mummy,"$N speaks to everyone, bye bye, don't miss me. "
151,regards,$N waved his/her hands continuously.
152,regards,$N waved his/her hands to $n saying: hi how are you?
153,regards,$N waved his/her hands continuously.
154,regards,$N waved his/her hands to $n saying: hi how are you?
155,regards,"$N nodded, waved hands saying: how are you?"
156,crazy,"$N is crazy, he giggled, I am Jesus Christ."
157,crazy,"$N nodded, said, $n is definitely crazy."
158,crazy,"$N is crazy, he giggled, I am Jesus Christ."
159,crazy,"$N nodded, said, $n is definitely crazy."
16,robot,"$N hold his head, and shout don't pull out my CPU."
160,crazy,"$N nodded sigh: insane, mad."
161,cry,"$N is so sad, he/she can't help himself crying."
162,cry,"$N is so sad, he/she cried on $n's shoulders."
163,cry,"$N is so sad, he/she can't help himself crying."
164,cry,"$N is so sad, he/she cried on $n's shoulders."
165,cry,$N is crying.
166,cut,"$N cut his/her own head down, and hold in his/her hand."
167,cut,$N cut $n into several small dices.
168,cut,"$N cut his/her own head down, and hold in his/her hand."
169,cut,$N cut $n  into several small dices.
17,robot,"$N knocked $n 's head, saying these kind of robot are too barbarism."
170,cut,$N is using a finger knife cutting his/her nail.
171,die for love,"$N shout, let me die...."
172,die for love,"$N looked at $n, if you dead, how could I be alive?"
173,die for love,"$N shout, let me die...."
174,die for love,"$N looked at $n, if you dead, how could I be alive?"
175,die for love,"$N asked himself, what is love??"
176,hopeless stupid,"$N cried, oh my god, I am hopeless stupid."
177,hopeless stupid,"$N abused $n , you are hopeless stupid."
178,hopeless stupid,"$N cried, oh my god, I am hopeless stupid."
179,hopeless stupid,"$N abused $n , you are hopeless stupid."
18,robot,"$N hold his head, and shout don't pull out my CPU."
180,hopeless stupid,"$N sighed, let it be then..."
181,confused 2,$N is confused.
182,confused 2,$N seems not understanding why $n is so confused.
183,confused 2,$N is confused.
184,confused 2,$N seems not understanding why $n is so confused.
185,confused 2,"$N said, what are you guys talking about now?"
186,cheers,$N is almost drunk.
187,cheers,"$N told $n, let's have some alcohol."
188,cheers,$N is almost drunk.
189,cheers,"$N told $n, let's have some alcohol."
19,robot,"$N knocked $n 's head, saying these kind of robot are too barbarism."
190,cheers,$N is drinking some alcohol.
191,poison,$N drunk the poison wine with some meat. 
192,poison,$N put some poison into $n's wine.
193,poison,$N drunk the poison wine. 
194,poison,$N put some poison into $n's wine.
195,poison,$N is selling power pill on the street.
196,donkey,"$N trying to get into a car accident scene, he said, I am the one 's father who is getting hurt, he get into the accident scene, only found a dead donkey."
197,donkey,"$N abused $n, you are as stupid as a donkey."
198,donkey,"$N trying to get into a car accident scene, he said, I am the one 's father who is getting hurt, he get into the accident scene, only found a dead donkey."
199,donkey,"$N abused $n, you are as stupid as a donkey."
2,forced smile,"$N looked at $n, almost sad to cry."
20,robot,"$N looked around, everyone seems stunned, then say, they are all robots."
200,donkey,$N feels himself as stupid as a donkey.
201,flee,$N ran away without saying one word.
202,flee,"$N said let's go, then ran away."
203,flee,$N ran away without saying one word.
204,flee,"$N said let's go, then ran away."
205,flee,$N ran away without saying one word
206,faint,"$N fainted on the floor, with some blood in his/her mouth."
207,faint,"$N is so upset with $n, and faint."
208,faint,"$N fainted on the floor, with some blood in his/her mouth."
209,faint,"$N is so upset with $n, and faint."
21,"go, go, go…",$N encourage himself. 
210,faint,$N is faint
211,fat,"$N look into the mirror, saying what a big distorting mirror."
212,fat,"$N pointed $n's nose saying: look, what a big hippo."
213,fat,"$N look into the mirror, saying what a big distorting mirror."
214,fat,"$N pointed $n's nose saying: look, what a big hippo."
215,fat,"$N told everyone, I am not that fat, it's just strong."
216,fear,"$N is so scared, and ran away."
217,fear,$N was scared by $n.
218,fear,"$N is so scared, and ran away."
219,fear,$N was scared by $n.
22,"go, go, go…","$N shouted to $n, go go go..."
220,fear,$N looks so scared.
221,dissolute,"$N singing: my wife is not home today, I am gonna go to the night club to have some fun."
222,dissolute,$N said to $n: you are so charming.
